          Teff = 3500 K,  log g = 0.0,  [M/H] = +0.0

 COROT SIS           27    0.807 (0.0217)    0.775 -0.047 (0.0271)    0.878 -0.119 (0.0294)
 COROT EXO           28    0.802 (0.0217)    0.774 -0.041 (0.0270)    0.864 -0.103 (0.0290)
 Geneva         U    29    0.735 (0.0467)    0.796  0.092 (0.0239)    0.598  0.229 (0.0197)
                B    30    1.020 (0.1028)    0.753 -0.400 (0.0385)    1.620 -1.000 (0.0574)
                B1   31    0.910 (0.0626)    0.738 -0.259 (0.0348)    1.299 -0.647 (0.0469)
                B2   32    1.056 (0.1166)    0.758 -0.447 (0.0395)    1.727 -1.118 (0.0607)
                V    33    0.971 (0.0607)    0.812 -0.238 (0.0295)    1.328 -0.596 (0.0410)
                V1   34    0.978 (0.0661)    0.806 -0.259 (0.0305)    1.366 -0.646 (0.0429)
                G    35    0.959 (0.0502)    0.828 -0.197 (0.0269)    1.255 -0.493 (0.0363)
 Vilnius        U    36    0.721 (0.0541)    0.802  0.122 (0.0223)    0.538  0.305 (0.0167)
                P    37    0.754 (0.0365)    0.784  0.044 (0.0271)    0.688  0.110 (0.0250)
                X    38    0.931 (0.0762)    0.725 -0.309 (0.0361)    1.394 -0.772 (0.0506)
                Y    39    1.085 (0.1225)    0.774 -0.467 (0.0400)    1.785 -1.166 (0.0622)
                Z    40    0.965 (0.0709)    0.776 -0.283 (0.0353)    1.389 -0.708 (0.0488)
                V    41    0.987 (0.0686)    0.809 -0.267 (0.0303)    1.388 -0.668 (0.0432)
                S    42    0.894 (0.0277)    0.824 -0.104 (0.0261)    1.050 -0.261 (0.0311)
 Milone         iz   43    0.523 (0.0583)    0.623  0.150 (0.0203)    0.298  0.374 (0.0132)
                iJ   44    0.488 (0.0528)    0.587  0.148 (0.0133)    0.266  0.370 (0.0064)
                iH   45    0.393 (0.1171)    0.628  0.353 (0.0143)   -0.137  0.882 (0.0030)
                iK   46    0.316 (0.1062)    0.524  0.313 (0.0168)   -0.153  0.782 (0.0018)
 YMS94         iz    47    0.523 (0.0583)    0.623  0.150 (0.0203)    0.298  0.374 (0.0132)
               iJ    48    0.488 (0.0528)    0.587  0.148 (0.0133)    0.266  0.370 (0.0064)
               iH    49    0.393 (0.1170)    0.628  0.353 (0.0143)   -0.136  0.882 (0.0030)
               iK    50    0.316 (0.1062)    0.524  0.313 (0.0168)   -0.153  0.781 (0.0018)
               iL    51    0.229 (0.0732)    0.370  0.212 (0.0135)   -0.089  0.530 (0.0034)
               iLp   52    0.217 (0.0688)    0.349  0.199 (0.0130)   -0.081  0.497 (0.0035)
               iM    53    0.125 (0.0420)    0.200  0.112 (0.0127)   -0.042  0.280 (0.0074)
               in    54    0.116 (0.0366)    0.183  0.100 (0.0097)   -0.035  0.251 (0.0049)
               iN    55    0.106 (0.0345)    0.169  0.094 (0.0095)   -0.034  0.234 (0.0051)
 Sloan DSS      u    56    0.732 (0.0476)    0.795  0.094 (0.0243)    0.591  0.235 (0.0199)
                g    57    1.020 (0.0921)    0.782 -0.358 (0.0361)    1.557 -0.894 (0.0532)
                r    58    0.926 (0.0386)    0.824 -0.153 (0.0277)    1.155 -0.383 (0.0351)
                i    59    0.728 (0.0382)    0.768  0.059 (0.0260)    0.640  0.148 (0.0232)
                z    60    0.600 (0.0583)    0.695  0.142 (0.0231)    0.387  0.356 (0.0163)
 HST STIS Ly_alpha   61    0.662 (0.0210)    0.627 -0.052 (0.0070)    0.740 -0.130 (0.0046)
            Fclear   62    0.315 (0.0604)    0.176 -0.210 (0.0077)    0.630 -0.524 (0.0178)
             Fsrf2   63    0.312 (0.0599)    0.174 -0.208 (0.0077)    0.624 -0.519 (0.0177)
              Fqtz   64    0.332 (0.0634)    0.186 -0.219 (0.0079)    0.661 -0.548 (0.0184)
              CIII   65    0.610 (0.0454)    0.515 -0.143 (0.0020)    0.824 -0.357 (0.0053)
              MgII   66    0.742 (0.0951)    0.941  0.299 (0.0052)    0.293  0.748 (0.0094)
            Nclear   67    0.886 (0.0396)    0.773 -0.169 (0.0307)    1.139 -0.422 (0.0387)
             Nsrf2   68    0.977 (0.0744)    0.780 -0.296 (0.0343)    1.421 -0.739 (0.0483)
              Nqtz   69    0.672 (0.1027)    0.879  0.311 (0.0117)    0.205  0.777 (0.0037)
             cn182   70    0.869 (0.0423)    0.748 -0.182 (0.0324)    1.141 -0.454 (0.0409)
             cn270   71    0.753 (0.0871)    0.937  0.276 (0.0037)    0.338  0.691 (0.0098)
            Oclear   72    0.772 (0.0231)    0.761 -0.016 (0.0263)    0.796 -0.041 (0.0271)
         Oclear-lp   73    0.741 (0.0292)    0.757  0.024 (0.0253)    0.705  0.060 (0.0241)
             [OII]   74    0.729 (0.0516)    0.800  0.106 (0.0250)    0.570  0.265 (0.0201)
            [OIII]   75    1.036 (0.0905)    0.793 -0.366 (0.0457)    1.585 -0.914 (0.0631)
 2MASS          J    76    0.489 (0.0536)    0.589  0.151 (0.0133)    0.263  0.376 (0.0063)
 2MASS          H    77    0.392 (0.1154)    0.624  0.348 (0.0142)   -0.130  0.870 (0.0028)
 2MASS          Ks   78    0.319 (0.1073)    0.530  0.316 (0.0169)   -0.155  0.790 (0.0018)
 SWASP               79    0.948 (0.0513)    0.811 -0.204 (0.0298)    1.254 -0.511 (0.0397)
 MOST                80    0.926 (0.0441)    0.808 -0.177 (0.0297)    1.191 -0.442 (0.0382)
 GAIA (2006)    G    81    0.825 (0.0226)    0.780 -0.066 (0.0275)    0.924 -0.166 (0.0307)
 GAIA (2010)    G    82    0.797 (0.0219)    0.774 -0.035 (0.0269)    0.849 -0.087 (0.0286)
 GAIA (2010)    BP   83    0.957 (0.0543)    0.814 -0.215 (0.0297)    1.280 -0.537 (0.0400)
 GAIA (2010)    RP   84    0.696 (0.0410)    0.745  0.073 (0.0252)    0.587  0.182 (0.0217)
 GAIA (2010)  G_RV   85    0.676 (0.0506)    0.748  0.108 (0.0255)    0.515  0.270 (0.0204)
 Milone        230   86    0.661 (0.0206)    0.629 -0.048 (0.0081)    0.734 -0.121 (0.0058)
               250   87    0.784 (0.0450)    0.886  0.153 (0.0042)    0.554  0.383 (0.0116)
               270   88    0.754 (0.0866)    0.937  0.275 (0.0037)    0.341  0.687 (0.0098)
               290   89    0.711 (0.1049)    0.928  0.325 (0.0085)    0.224  0.812 (0.0073)
               310   90    0.653 (0.1106)    0.876  0.335 (0.0130)    0.152  0.836 (0.0034)
               330   91    0.643 (0.0948)    0.828  0.278 (0.0147)    0.226  0.695 (0.0024)
 CaII triplet  858   92    0.694 (0.0475)    0.758  0.096 (0.0258)    0.550  0.240 (0.0212)
 WIRE  Johnson V+R   93    0.858 (0.0249)    0.799 -0.087 (0.0276)    0.989 -0.219 (0.0318)
               LUT   94    0.919 (0.0511)    0.779 -0.210 (0.0320)    1.235 -0.526 (0.0420)


          Teff = 3500 K,  log g = 0.5,  [M/H] = +0.0

 bolometric           0    0.475 (0.0673)    0.598  0.184 (0.0175)    0.199  0.460 (0.0087)
 Stromgren      u     1    0.773 (0.0320)    0.788  0.022 (0.0280)    0.739  0.056 (0.0269)
                v     2    0.957 (0.0852)    0.730 -0.340 (0.0362)    1.466 -0.849 (0.0521)
                b     3    1.111 (0.1248)    0.796 -0.473 (0.0390)    1.821 -1.183 (0.0615)
                y     4    0.991 (0.0675)    0.815 -0.264 (0.0305)    1.387 -0.660 (0.0432)
 Johnson        U     5    0.822 (0.0229)    0.773 -0.072 (0.0314)    0.930 -0.180 (0.0347)
                B     6    1.048 (0.1048)    0.778 -0.405 (0.0381)    1.656 -1.013 (0.0573)
                V     7    0.973 (0.0602)    0.815 -0.237 (0.0298)    1.329 -0.593 (0.0412)
                R     8    0.815 (0.0224)    0.781 -0.051 (0.0280)    0.892 -0.129 (0.0305)
                I     9    0.619 (0.0534)    0.700  0.122 (0.0240)    0.436  0.305 (0.0182)
                J    10    0.481 (0.0573)    0.588  0.161 (0.0142)    0.239  0.403 (0.0067)
                K    11    0.320 (0.1044)    0.525  0.308 (0.0164)   -0.142  0.770 (0.0016)
                L    12    0.239 (0.0749)    0.384  0.218 (0.0134)   -0.088  0.544 (0.0029)
                M    13    0.127 (0.0418)    0.202  0.113 (0.0121)   -0.042  0.282 (0.0067)
                N    14    0.112 (0.0354)    0.176  0.096 (0.0096)   -0.033  0.241 (0.0050)
 Cousins        Rc   15    0.874 (0.0289)    0.800 -0.110 (0.0281)    1.040 -0.276 (0.0334)
                Ic   16    0.697 (0.0421)    0.747  0.074 (0.0260)    0.586  0.186 (0.0224)
 Bessell        UX   17    0.816 (0.0225)    0.775 -0.061 (0.0309)    0.907 -0.152 (0.0337)
 Bessell        BX   18    1.050 (0.1052)    0.779 -0.407 (0.0381)    1.660 -1.017 (0.0574)
 Bessell        B    19    1.049 (0.1050)    0.778 -0.406 (0.0381)    1.658 -1.015 (0.0574)
 Bessell        V    20    0.973 (0.0600)    0.815 -0.236 (0.0297)    1.328 -0.591 (0.0411)
 Bessell        R    21    0.870 (0.0282)    0.799 -0.107 (0.0281)    1.030 -0.267 (0.0332)
 Bessell        I    22    0.683 (0.0447)    0.740  0.085 (0.0256)    0.555  0.213 (0.0215)
 Tycho         TyB   23    1.029 (0.1023)    0.764 -0.397 (0.0377)    1.625 -0.994 (0.0565)
               TyV   24    0.992 (0.0696)    0.810 -0.273 (0.0318)    1.402 -0.683 (0.0449)
 Hipparchos    HIP   25    0.952 (0.0572)    0.800 -0.228 (0.0313)    1.294 -0.570 (0.0422)
 KEPLER              26    0.844 (0.0261)    0.782 -0.094 (0.0286)    0.985 -0.234 (0.0331)
 COROT SIS           27    0.803 (0.0222)    0.766 -0.055 (0.0278)    0.886 -0.138 (0.0305)
 COROT EXO           28    0.797 (0.0221)    0.765 -0.049 (0.0277)    0.871 -0.122 (0.0300)
 Geneva         U    29    0.783 (0.0286)    0.784  0.003 (0.0289)    0.778  0.007 (0.0287)
                B    30    1.040 (0.1051)    0.769 -0.407 (0.0380)    1.651 -1.018 (0.0572)
                B1   31    0.947 (0.0740)    0.747 -0.300 (0.0357)    1.397 -0.749 (0.0498)
                B2   32    1.077 (0.1174)    0.778 -0.449 (0.0386)    1.750 -1.121 (0.0599)
                V    33    0.974 (0.0604)    0.815 -0.238 (0.0296)    1.330 -0.594 (0.0410)
                V1   34    0.981 (0.0644)    0.812 -0.253 (0.0304)    1.361 -0.633 (0.0426)
                G    35    0.966 (0.0531)    0.827 -0.208 (0.0271)    1.279 -0.521 (0.0372)
 Vilnius        U    36    0.764 (0.0355)    0.790  0.039 (0.0272)    0.705  0.099 (0.0253)
                P    37    0.810 (0.0231)    0.774 -0.054 (0.0314)    0.891 -0.135 (0.0339)
                X    38    0.972 (0.0889)    0.736 -0.354 (0.0370)    1.502 -0.884 (0.0535)
                Y    39    1.107 (0.1242)    0.792 -0.472 (0.0393)    1.814 -1.180 (0.0617)
                Z    40    0.955 (0.0637)    0.784 -0.257 (0.0350)    1.341 -0.643 (0.0473)
                V    41    0.991 (0.0675)    0.815 -0.264 (0.0304)    1.386 -0.659 (0.0431)
                S    42    0.893 (0.0324)    0.808 -0.127 (0.0278)    1.083 -0.317 (0.0339)
 Milone         iz   43    0.512 (0.0614)    0.617  0.157 (0.0217)    0.277  0.392 (0.0142)
                iJ   44    0.477 (0.0534)    0.575  0.147 (0.0146)    0.257  0.367 (0.0077)
                iH   45    0.389 (0.1174)    0.625  0.353 (0.0148)   -0.141  0.883 (0.0024)
                iK   46    0.314 (0.1046)    0.519  0.308 (0.0165)   -0.148  0.770 (0.0017)
 YMS94         iz    47    0.512 (0.0614)    0.617  0.157 (0.0217)    0.277  0.392 (0.0142)
               iJ    48    0.477 (0.0534)    0.575  0.147 (0.0146)    0.257  0.367 (0.0077)
               iH    49    0.390 (0.1173)    0.625  0.353 (0.0148)   -0.140  0.883 (0.0024)
               iK    50    0.314 (0.1046)    0.519  0.308 (0.0165)   -0.148  0.770 (0.0017)
               iL    51    0.227 (0.0708)    0.363  0.205 (0.0130)   -0.081  0.513 (0.0031)
               iLp   52    0.214 (0.0665)    0.342  0.192 (0.0125)   -0.074  0.480 (0.0033)
               iM    53    0.117 (0.0404)    0.189  0.107 (0.0125)   -0.043  0.267 (0.0074)
               in    54    0.113 (0.0354)    0.177  0.096 (0.0097)   -0.031  0.241 (0.0051)
               iN    55    0.103 (0.0338)    0.164  0.092 (0.0094)   -0.035  0.230 (0.0050)
 Sloan DSS      u    56    0.781 (0.0289)    0.784  0.005 (0.0288)    0.773  0.012 (0.0285)
                g    57    1.028 (0.0908)    0.793 -0.353 (0.0358)    1.558 -0.883 (0.0526)
                r    58    0.924 (0.0419)    0.813 -0.167 (0.0288)    1.175 -0.418 (0.0369)
                i    59    0.717 (0.0377)    0.753  0.055 (0.0267)    0.635  0.137 (0.0241)
                z    60    0.593 (0.0585)    0.687  0.142 (0.0235)    0.380  0.354 (0.0167)
 HST STIS Ly_alpha   61    0.629 (0.0191)    0.599 -0.044 (0.0075)    0.695 -0.111 (0.0054)
            Fclear   62    0.279 (0.0550)    0.152 -0.191 (0.0074)    0.566 -0.479 (0.0166)
             Fsrf2   63    0.277 (0.0545)    0.150 -0.190 (0.0074)    0.562 -0.475 (0.0165)
              Fqtz   64    0.293 (0.0575)    0.160 -0.200 (0.0076)    0.593 -0.499 (0.0172)
              CIII   65    0.569 (0.0434)    0.478 -0.136 (0.0020)    0.773 -0.341 (0.0051)
              MgII   66    0.713 (0.1035)    0.928  0.323 (0.0070)    0.228  0.807 (0.0089)
            Nclear   67    0.901 (0.0415)    0.784 -0.176 (0.0311)    1.165 -0.440 (0.0394)
             Nsrf2   68    0.982 (0.0717)    0.791 -0.286 (0.0340)    1.411 -0.715 (0.0475)
              Nqtz   69    0.663 (0.1036)    0.869  0.309 (0.0141)    0.199  0.772 (0.0018)
             cn182   70    0.903 (0.0526)    0.755 -0.221 (0.0337)    1.235 -0.553 (0.0441)
             cn270   71    0.724 (0.0951)    0.924  0.300 (0.0050)    0.275  0.749 (0.0098)
            Oclear   72    0.766 (0.0230)    0.751 -0.022 (0.0270)    0.800 -0.056 (0.0281)
         Oclear-lp   73    0.732 (0.0290)    0.745  0.020 (0.0260)    0.702  0.050 (0.0251)
             [OII]   74    0.778 (0.0316)    0.788  0.016 (0.0290)    0.754  0.040 (0.0283)
            [OIII]   75    1.021 (0.0850)    0.791 -0.346 (0.0450)    1.540 -0.865 (0.0614)
 2MASS          J    76    0.478 (0.0543)    0.578  0.150 (0.0145)    0.253  0.375 (0.0075)
 2MASS          H    77    0.389 (0.1156)    0.621  0.348 (0.0146)   -0.132  0.869 (0.0023)
 2MASS          Ks   78    0.317 (0.1059)    0.525  0.312 (0.0167)   -0.151  0.780 (0.0017)
 SWASP               79    0.951 (0.0544)    0.806 -0.217 (0.0307)    1.276 -0.543 (0.0411)
 MOST                80    0.926 (0.0467)    0.801 -0.188 (0.0306)    1.208 -0.470 (0.0396)
 GAIA (2006)    G    81    0.822 (0.0236)    0.772 -0.075 (0.0282)    0.935 -0.188 (0.0318)
 GAIA (2010)    G    82    0.792 (0.0221)    0.764 -0.042 (0.0276)    0.856 -0.106 (0.0296)
 GAIA (2010)    BP   83    0.962 (0.0575)    0.810 -0.228 (0.0305)    1.304 -0.570 (0.0414)
 GAIA (2010)    RP   84    0.684 (0.0410)    0.731  0.070 (0.0259)    0.579  0.176 (0.0225)
 GAIA (2010)  G_RV   85    0.667 (0.0467)    0.728  0.091 (0.0263)    0.531  0.227 (0.0219)
 Milone        230   86    0.631 (0.0182)    0.605 -0.038 (0.0086)    0.688 -0.095 (0.0068)
               250   87    0.752 (0.0512)    0.868  0.174 (0.0046)    0.491  0.435 (0.0130)
               270   88    0.725 (0.0946)    0.924  0.298 (0.0049)    0.278  0.746 (0.0098)
               290   89    0.685 (0.1118)    0.913  0.343 (0.0109)    0.171  0.857 (0.0058)
               310   90    0.641 (0.1123)    0.864  0.335 (0.0154)    0.138  0.839 (0.0013)
               330   91    0.652 (0.0885)    0.819  0.250 (0.0178)    0.277  0.625 (0.0062)
 CaII triplet  858   92    0.685 (0.0422)    0.732  0.072 (0.0271)    0.577  0.179 (0.0236)
 WIRE  Johnson V+R   93    0.852 (0.0263)    0.789 -0.095 (0.0284)    0.995 -0.238 (0.0330)
               LUT   94    0.933 (0.0557)    0.781 -0.229 (0.0330)    1.276 -0.572 (0.0439)


          Teff = 3500 K,  log g = 1.0,  [M/H] = +0.0

 bolometric           0    0.468 (0.0677)    0.591  0.185 (0.0178)    0.191  0.462 (0.0089)
 Stromgren      u     1    0.822 (0.0228)    0.782 -0.060 (0.0315)    0.913 -0.150 (0.0343)
                v     2    0.981 (0.0881)    0.748 -0.348 (0.0354)    1.503 -0.870 (0.0518)
                b     3    1.124 (0.1254)    0.808 -0.475 (0.0386)    1.837 -1.187 (0.0612)
                y     4    0.991 (0.0665)    0.817 -0.261 (0.0306)    1.382 -0.653 (0.0431)
 Johnson        U     5    0.866 (0.0321)    0.774 -0.138 (0.0332)    1.074 -0.346 (0.0397)
                B     6    1.054 (0.1022)    0.790 -0.396 (0.0373)    1.648 -0.990 (0.0561)
                V     7    0.973 (0.0600)    0.814 -0.237 (0.0299)    1.329 -0.594 (0.0413)
                R     8    0.803 (0.0225)    0.767 -0.055 (0.0284)    0.886 -0.138 (0.0310)
                I     9    0.611 (0.0537)    0.692  0.123 (0.0240)    0.427  0.306 (0.0181)
                J    10    0.472 (0.0587)    0.581  0.163 (0.0154)    0.228  0.407 (0.0077)
                K    11    0.318 (0.1030)    0.521  0.304 (0.0161)   -0.138  0.760 (0.0015)
                L    12    0.237 (0.0731)    0.378  0.212 (0.0131)   -0.082  0.531 (0.0029)
                M    13    0.120 (0.0410)    0.194  0.110 (0.0120)   -0.045  0.275 (0.0067)
                N    14    0.109 (0.0353)    0.173  0.096 (0.0097)   -0.035  0.240 (0.0051)
 Cousins        Rc   15    0.866 (0.0305)    0.787 -0.119 (0.0287)    1.045 -0.297 (0.0344)
                Ic   16    0.688 (0.0412)    0.735  0.071 (0.0258)    0.581  0.177 (0.0224)
 Bessell        UX   17    0.860 (0.0299)    0.775 -0.128 (0.0329)    1.052 -0.319 (0.0388)
 Bessell        BX   18    1.056 (0.1027)    0.791 -0.397 (0.0373)    1.652 -0.993 (0.0562)
 Bessell        B    19    1.055 (0.1024)    0.790 -0.397 (0.0373)    1.650 -0.992 (0.0561)
 Bessell        V    20    0.973 (0.0599)    0.815 -0.237 (0.0299)    1.328 -0.593 (0.0412)
 Bessell        R    21    0.862 (0.0296)    0.785 -0.115 (0.0287)    1.034 -0.287 (0.0342)
 Bessell        I    22    0.675 (0.0436)    0.729  0.082 (0.0253)    0.552  0.204 (0.0214)
 Tycho         TyB   23    1.039 (0.0998)    0.781 -0.387 (0.0367)    1.621 -0.969 (0.0550)
               TyV   24    0.991 (0.0686)    0.811 -0.271 (0.0319)    1.397 -0.676 (0.0448)
 Hipparchos    HIP   25    0.953 (0.0586)    0.797 -0.234 (0.0315)    1.304 -0.585 (0.0428)
 KEPLER              26    0.839 (0.0267)    0.773 -0.099 (0.0288)    0.987 -0.247 (0.0336)
 COROT SIS           27    0.796 (0.0223)    0.757 -0.059 (0.0280)    0.884 -0.147 (0.0308)
 COROT EXO           28    0.790 (0.0221)    0.756 -0.052 (0.0278)    0.869 -0.130 (0.0304)
 Geneva         U    29    0.831 (0.0234)    0.780 -0.077 (0.0322)    0.948 -0.194 (0.0358)
                B    30    1.050 (0.1030)    0.784 -0.399 (0.0370)    1.648 -0.997 (0.0559)
                B1   31    0.970 (0.0779)    0.761 -0.312 (0.0353)    1.438 -0.781 (0.0499)
                B2   32    1.087 (0.1146)    0.796 -0.438 (0.0376)    1.744 -1.094 (0.0583)
                V    33    0.974 (0.0600)    0.816 -0.237 (0.0296)    1.330 -0.593 (0.0410)
                V1   34    0.980 (0.0628)    0.815 -0.248 (0.0303)    1.352 -0.620 (0.0421)
                G    35    0.970 (0.0564)    0.823 -0.221 (0.0276)    1.302 -0.553 (0.0382)
 Vilnius        U    36    0.812 (0.0232)    0.785 -0.041 (0.0306)    0.874 -0.103 (0.0326)
                P    37    0.858 (0.0299)    0.773 -0.127 (0.0335)    1.049 -0.318 (0.0394)
                X    38    0.996 (0.0928)    0.753 -0.365 (0.0362)    1.545 -0.914 (0.0534)
                Y    39    1.119 (0.1238)    0.805 -0.470 (0.0387)    1.823 -1.175 (0.0610)
                Z    40    0.942 (0.0562)    0.789 -0.230 (0.0343)    1.286 -0.574 (0.0452)
                V    41    0.991 (0.0663)    0.817 -0.260 (0.0304)    1.381 -0.651 (0.0429)
                S    42    0.886 (0.0360)    0.791 -0.143 (0.0291)    1.101 -0.358 (0.0360)
 Milone         iz   43    0.504 (0.0651)    0.615  0.166 (0.0227)    0.254  0.416 (0.0148)
                iJ   44    0.468 (0.0549)    0.567  0.149 (0.0157)    0.244  0.373 (0.0087)
                iH   45    0.387 (0.1175)    0.622  0.353 (0.0151)   -0.143  0.883 (0.0021)
                iK   46    0.313 (0.1031)    0.515  0.304 (0.0162)   -0.143  0.760 (0.0016)
 YMS94         iz    47    0.504 (0.0651)    0.615  0.166 (0.0227)    0.254  0.416 (0.0148)
               iJ    48    0.468 (0.0549)    0.567  0.149 (0.0157)    0.244  0.373 (0.0087)
               iH    49    0.387 (0.1174)    0.622  0.353 (0.0151)   -0.142  0.882 (0.0021)
               iK    50    0.313 (0.1030)    0.515  0.304 (0.0161)   -0.143  0.760 (0.0016)
               iL    51    0.225 (0.0690)    0.358  0.200 (0.0127)   -0.075  0.500 (0.0032)
               iLp   52    0.212 (0.0648)    0.337  0.187 (0.0123)   -0.069  0.468 (0.0033)
               iM    53    0.110 (0.0398)    0.180  0.105 (0.0123)   -0.048  0.263 (0.0073)
               in    54    0.111 (0.0350)    0.174  0.094 (0.0099)   -0.030  0.235 (0.0054)
               iN    55    0.101 (0.0338)    0.162  0.092 (0.0094)   -0.037  0.229 (0.0051)
 Sloan DSS      u    56    0.828 (0.0228)    0.781 -0.071 (0.0315)    0.934 -0.177 (0.0348)
                g    57    1.030 (0.0880)    0.801 -0.343 (0.0353)    1.545 -0.858 (0.0516)
                r    58    0.918 (0.0443)    0.800 -0.178 (0.0297)    1.185 -0.445 (0.0382)
                i    59    0.704 (0.0374)    0.740  0.053 (0.0265)    0.624  0.133 (0.0240)
                z    60    0.587 (0.0590)    0.682  0.143 (0.0234)    0.373  0.357 (0.0165)
 HST STIS Ly_alpha   61    0.605 (0.0147)    0.587 -0.027 (0.0081)    0.646 -0.069 (0.0068)
            Fclear   62    0.267 (0.0528)    0.145 -0.184 (0.0072)    0.543 -0.459 (0.0160)
             Fsrf2   63    0.265 (0.0524)    0.144 -0.182 (0.0071)    0.539 -0.456 (0.0159)
              Fqtz   64    0.279 (0.0549)    0.152 -0.191 (0.0073)    0.565 -0.477 (0.0165)
              CIII   65    0.543 (0.0401)    0.460 -0.125 (0.0023)    0.731 -0.312 (0.0042)
              MgII   66    0.685 (0.1097)    0.911  0.338 (0.0095)    0.178  0.845 (0.0072)
            Nclear   67    0.909 (0.0404)    0.794 -0.172 (0.0309)    1.166 -0.429 (0.0390)
             Nsrf2   68    0.980 (0.0671)    0.800 -0.270 (0.0333)    1.385 -0.675 (0.0461)
              Nqtz   69    0.663 (0.0995)    0.857  0.291 (0.0162)    0.228  0.726 (0.0028)
             cn182   70    0.926 (0.0572)    0.767 -0.238 (0.0338)    1.284 -0.596 (0.0450)
             cn270   71    0.695 (0.1018)    0.907  0.317 (0.0069)    0.219  0.794 (0.0088)
            Oclear   72    0.759 (0.0229)    0.743 -0.024 (0.0272)    0.795 -0.060 (0.0283)
         Oclear-lp   73    0.721 (0.0291)    0.734  0.019 (0.0262)    0.692  0.048 (0.0253)
             [OII]   74    0.818 (0.0229)    0.786 -0.048 (0.0307)    0.890 -0.120 (0.0329)
            [OIII]   75    0.999 (0.0769)    0.788 -0.316 (0.0433)    1.472 -0.789 (0.0582)
 2MASS          J    76    0.468 (0.0558)    0.570  0.152 (0.0157)    0.240  0.380 (0.0085)
 2MASS          H    77    0.387 (0.1154)    0.618  0.347 (0.0149)   -0.134  0.868 (0.0020)
 2MASS          Ks   78    0.315 (0.1044)    0.520  0.308 (0.0164)   -0.147  0.770 (0.0016)
 SWASP               79    0.949 (0.0562)    0.799 -0.225 (0.0313)    1.286 -0.562 (0.0420)
 MOST                80    0.922 (0.0481)    0.793 -0.194 (0.0311)    1.214 -0.486 (0.0404)
 GAIA (2006)    G    81    0.816 (0.0239)    0.763 -0.079 (0.0284)    0.935 -0.198 (0.0322)
 GAIA (2010)    G    82    0.785 (0.0220)    0.755 -0.046 (0.0277)    0.854 -0.114 (0.0299)
 GAIA (2010)    BP   83    0.962 (0.0595)    0.804 -0.237 (0.0310)    1.317 -0.592 (0.0424)
 GAIA (2010)    RP   84    0.672 (0.0413)    0.719  0.071 (0.0258)    0.565  0.178 (0.0224)
